x,y,z,vx,vy,vz,pressure,type
-3.64079354e-04,7.15419827e-04,-1.36551491e-03,-8.49871718e-03,-2.75641614e-02,-1.35979709e-02,0.00000000e+00,0
-2.84398496e-04,7.10891925e-04,-1.38325573e-03,3.47365197e-03,2.43689007e-03,-9.36878868e-03,7.29207402e+02,0
-2.09726016e-04,6.73298944e-04,-1.40031498e-03,1.34146988e-02,3.11196194e-02,9.57228564e-03,7.68889482e+02,0
-1.33964138e-04,7.19233351e-04,-1.40483851e-03,1.50882581e-02,1.57185383e-02,3.00432813e-03,0.00000000e+00,0
-5.50826472e-05,7.54852167e-04,-1.40615401e-03,1.07562582e-02,-2.22381767e-02,-1.22115906e-02,0.00000000e+00,0
2.24278516e-05,7.06646289e-04,-1.41364784e-03,-5.11353657e-03,-1.47091894e-02,3.65770000e-02,0.00000000e+00,0
2.56535796e-04,7.76462703e-04,-1.38695480e-03,1.27953553e-02,9.60931816e-03,2.42559336e-02,0.00000000e+00,0
2.72527448e-04,8.54424527e-04,-1.36209036e-03,9.74373052e-03,-1.67560439e-02,4.00268191e-02,7.46781619e+02,0
3.89417626e-04,7.26210267e-04,-1.36414233e-03,-2.76431285e-03,1.08588515e-02,-3.86005005e-03,0.00000000e+00,0
5.89295753e-04,5.95749793e-04,-1.29284902e-03,1.10728614e-02,4.07631304e-02,-3.71517965e-02,1.15073329e+03,0
7.05000468e-04,4.92645788e-04,-1.22784903e-03,3.79916796e-02,-4.46172471e-03,-2.02549045e-02,1.14779572e+03,0
7.54999446e-04,6.50875375e-04,-1.20119064e-03,4.67640635e-02,4.64462963e-02,2.72616404e-02,0.00000000e+00,0
-1.18810265e-03,7.45106258e-04,-7.56370762e-04,-4.46112351e-02,3.36478070e-02,-1.54757116e-02,1.27626809e+03,0
-1.09065315e-03,8.17214535e-04,-8.64252844e-04,5.15235539e-03,-1.61086675e-02,-4.35895675e-02,1.22328343e+03,0
-9.77582228e-04,7.28807300e-04,-1.01175386e-03,-2.58613612e-02,1.31737245e-02,-6.42880326e-03,1.11103654e+03,0
-8.48682175e-04,6.31566993e-04,-1.13067842e-03,-2.17043779e-02,3.27737158e-03,-1.65275374e-02,1.25058189e+03,0
-7.90100736e-04,7.63333900e-04,-1.14515090e-03,1.40071713e-03,3.31219138e-02,-1.69027870e-02,9.83150552e+02,0
-6.54289034e-04,6.99486221e-04,-1.24220718e-03,-1.52673397e-03,3.16254757e-03,-1.53321695e-02,1.00846979e+03,0
-6.61452177e-04,7.84887221e-04,-1.22438423e-03,-2.25458816e-02,4.43763935e-03,2.69461561e-02,0.00000000e+00,0
-5.25740562e-04,8.03616684e-04,-1.29033041e-03,-1.34454292e-02,4.17513641e-03,-2.11386363e-02,9.83504435e+02,0
-4.51124594e-04,8.38988998e-04,-1.31153446e-03,1.79606913e-02,2.06968885e-02,-1.91321428e-02,1.04886683e+03,0
-3.65565878e-04,7.91295057e-04,-1.35313283e-03,-1.13562772e-02,-2.29510833e-02,8.70149925e-03,0.00000000e+00,0
-2.86888489e-04,7.98300637e-04,-1.36874401e-03,-9.29139696e-03,4.67177259e-03,-1.95233526e-02,8.17663084e+02,0
-2.10336456e-04,7.59470596e-04,-1.39058130e-03,7.32450976e-03,8.82910568e-03,6.06637407e-04,0.00000000e+00,0
-1.35071202e-04,8.05510399e-04,-1.39225619e-03,4.48061533e-03,-1.23938494e-02,6.76429260e-04,0.00000000e+00,0
-5.75879989e-05,8.37216979e-04,-1.39174286e-03,-6.69463493e-03,-3.05314680e-02,1.66963283e-03,0.00000000e+00,0
